x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 3.515935  y : 1.348864  deg : -5.241956
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 3.828212  y : 1.104230  deg : 2.174379
x : 3.954765  y : 1.220548  deg : -0.539868
x : 4.085403  y : 1.089006  deg : -0.046090
x : -nan  y : -nan  deg : -nan
x : 4.224492  y : 1.285564  deg : -2.053763
x : 4.200874  y : 1.139913  deg : 1.298329
x : 4.231654  y : 1.318687  deg : -0.786874
x : 4.163623  y : 1.189625  deg : -1.728179
x : 4.196409  y : 1.370209  deg : -1.811090
x : 4.299148  y : 1.146019  deg : 3.294156
x : 4.418690  y : 1.282489  deg : 1.797240
x : 4.329897  y : 1.202197  deg : 0.113018
x : 4.289343  y : 1.244451  deg : -2.040013
x : -nan  y : -nan  deg : -nan
x : 4.230222  y : 1.503358  deg : -2.991731
x : -nan  y : -nan  deg : -nan
x : 4.292403  y : 1.515127  deg : -2.727615
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 4.432017  y : 1.405630  deg : -5.002285
x : 4.370013  y : 1.187215  deg : 2.139270
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 4.662982  y : 1.468840  deg : -2.757433
x : 4.676521  y : 1.485811  deg : -1.587750
x : 4.680088  y : 1.461765  deg : -2.514007
x : -0.140854  y : 0.115144  deg : 34.189661
x : -nan  y : -nan  deg : -nan
x : 4.576669  y : 1.255517  deg : 0.859342
x : -nan  y : -nan  deg : -nan
x : 4.731402  y : 1.482091  deg : -2.891117
x : 4.807689  y : 1.390497  deg : -5.786831
x : 4.630571  y : 1.266053  deg : 2.156434
x : -nan  y : -nan  deg : -nan
x : 4.766439  y : 1.349276  deg : -0.899439
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 4.941577  y : 1.163801  deg : -6.582985
x : 4.883876  y : 1.266005  deg : -4.110704
x : 4.944894  y : 1.149387  deg : -5.117220
x : 4.977546  y : 1.166872  deg : -5.359965
x : -nan  y : -nan  deg : -nan
x : 5.196392  y : 1.611169  deg : 8.365004
x : -nan  y : -nan  deg : -nan
x : 4.982625  y : 1.180231  deg : -3.862697
x : 4.824483  y : 1.258141  deg : 4.136505
x : -nan  y : -nan  deg : -nan
x : 5.023926  y : 1.105146  deg : -8.872148
x : 4.977295  y : 1.201582  deg : -6.678748
x : 4.960940  y : 1.257868  deg : -5.984680
x : -nan  y : -nan  deg : -nan
x : 5.187521  y : 1.697430  deg : 5.387545
x : -1.721259  y : 0.710602  deg : 31.569243
x : 5.337871  y : 1.659708  deg : 6.558460
x : 5.110524  y : 1.037313  deg : -5.997982
x : 5.043702  y : 1.045387  deg : -3.974283
x : 5.037370  y : 1.074976  deg : -4.693058
x : 5.030100  y : 1.025139  deg : -4.293465
x : 4.931199  y : 1.247622  deg : 0.625782
x : -nan  y : -nan  deg : -nan
x : 5.082154  y : 1.119341  deg : -5.737755
x : -nan  y : -nan  deg : -nan
x : -1.339361  y : 0.654795  deg : 33.739480
x : -nan  y : -nan  deg : -nan
x : 5.346721  y : 1.625482  deg : 6.007063
x : 5.213546  y : 1.045090  deg : -9.059111
x : 5.212537  y : 1.150256  deg : -5.423665
x : 5.259164  y : 1.136332  deg : -4.768556
x : 5.246426  y : 1.124492  deg : -6.463892
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 5.215558  y : 1.204244  deg : -6.888015
x : 5.265413  y : 1.243050  deg : -5.444923
x : 5.291027  y : 1.205763  deg : -5.743831
x : 5.369214  y : 1.138792  deg : -7.156409
x : 5.338081  y : 1.237442  deg : -4.182227
x : -0.260177  y : 0.191630  deg : 38.671016
x : 5.393278  y : 1.154798  deg : -5.143723
x : 5.614234  y : 1.515323  deg : 8.328272
x : 5.417507  y : 0.964103  deg : -2.721735
x : 5.514152  y : 1.105337  deg : -6.722416
x : 5.543491  y : 1.112883  deg : -5.872160
x : 5.484430  y : 0.994693  deg : -2.324570
x : 5.819961  y : 1.563253  deg : 6.106604
x : 5.568276  y : 1.153995  deg : -3.387081
x : 5.611747  y : 1.111946  deg : -4.466198
x : 5.622536  y : 1.076543  deg : -4.111565
x : 5.793687  y : 1.543033  deg : 6.282150
x : 5.702661  y : 1.206868  deg : -0.214431
x : 5.719217  y : 0.982220  deg : -0.799150
x : 6.005142  y : 1.469943  deg : 7.864753
x : 5.756983  y : 0.973856  deg : -0.969150
x : 5.823955  y : 0.958475  deg : -2.021899
x : 5.885322  y : 0.917607  deg : -0.957124
x : 5.911927  y : 0.976007  deg : -1.802320
x : 6.010003  y : 1.087248  deg : -7.400279
x : 5.939364  y : 0.904411  deg : -2.446622
x : 5.963661  y : 0.865964  deg : -2.037882
x : 5.944221  y : 1.093880  deg : 0.482556
x : 5.986994  y : 1.081689  deg : 1.748630
x : 6.044693  y : 1.052449  deg : 1.958541
x : -nan  y : -nan  deg : -nan
x : 6.195235  y : 0.811115  deg : -3.200582
x : 6.515948  y : 1.326193  deg : 9.215080
x : 6.614948  y : 1.286242  deg : 9.618370
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 6.476984  y : 1.272350  deg : 13.124132
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 6.561450  y : 1.409080  deg : 5.842928
x : 6.478840  y : 1.111335  deg : -6.651249
x : 6.417111  y : 1.340542  deg : -1.761120
x : 6.372848  y : 1.332210  deg : -3.058456
x : 6.410723  y : 1.415799  deg : -6.946077
x : -nan  y : -nan  deg : -nan
x : 6.468622  y : 1.599655  deg : -15.249222
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
