5.395181 0.000000 180.000000
5.311537 0.000000 180.000000
5.247842 0.000000 180.000000
5.228236 0.000000 180.000000
5.258667 0.000000 180.000000
5.272775 0.000000 180.000000
5.286838 0.000000 180.000000
5.296447 0.000000 180.000000
5.311347 0.000000 180.000000
5.438174 0.000000 180.000000
5.932324 0.213062 169.366756
6.188881 0.123764 172.840741
6.227353 0.000000 nan
6.271554 0.000000 nan
6.328635 0.000000 nan
6.342222 0.000000 179.999999
6.344262 0.000000 nan
6.440112 0.000000 nan
6.527865 0.000000 179.749999
6.599407 0.000000 179.500000
6.603820 0.000000 179.750000
6.610652 0.000000 nan
6.670870 0.000000 179.999999
6.733907 0.000000 180.000000
6.796440 0.000000 179.749999
6.825888 0.000000 180.000000
6.841059 0.000000 179.999999
6.835588 0.000000 nan
6.816981 0.000000 nan
1.298034 0.621546 24.201497
6.729938 0.000000 179.750000
6.668299 0.000000 nan
6.578576 0.000000 179.500000
6.462415 0.000000 179.750000
2.046353 0.778512 20.300148
2.092614 1.214587 16.881620
-nan -nan -nan
2.503080 1.347453 15.476739
2.589421 1.377227 14.969018
2.528557 1.338350 14.504978
-nan -nan -nan
2.442351 1.223722 14.332362
2.523676 1.157503 14.315336
5.102159 0.000000 168.750000
2.344805 1.095689 15.534857
2.431472 1.124526 15.083059
2.526438 1.170951 14.424811
2.444506 1.234590 14.220838
2.557432 1.357655 12.993358
2.686778 1.554008 12.946892
2.520267 0.905442 20.367527
-nan -nan -nan
-nan -nan -nan
6.537782 0.000000 nan
-nan -nan -nan
6.691508 1.174555 13.337577
-nan -nan -nan
-nan -nan -nan
2.463270 0.952496 21.488822
-nan -nan -nan
-nan -nan -nan
2.676160 1.504902 13.465873
2.875122 1.526123 13.167142
3.535699 1.634956 10.635806
3.365070 1.528679 7.746556
5.620367 1.675673 -0.402175
2.876269 1.550447 9.164126
3.210983 0.856849 15.356001
2.612815 0.768876 15.877422
2.960192 0.844816 14.984060
3.270440 0.902352 15.698363
2.753881 0.759629 15.260934
-nan -nan -nan
3.522250 0.820174 13.620384
6.903157 0.000000 180.000000
6.975585 0.000000 179.750000
7.049720 0.000000 nan
7.097692 0.000000 nan
7.101183 0.000000 nan
7.039568 0.000000 179.500000
2.856479 0.709474 13.896438
2.908911 0.745353 13.920874
2.945041 0.733308 14.245853
3.253021 0.757840 13.429459
-nan -nan -nan
2.900042 0.750698 13.626368
3.269224 0.750754 12.232603
3.401390 0.750625 12.229446
6.553272 0.000000 180.000000
3.132028 0.613819 11.063306
6.379416 0.000000 180.000000
3.053079 0.528113 8.656413
6.123816 0.000000 179.499999
5.993612 0.000000 179.750000
5.851716 0.000000 179.500000
5.801820 0.000000 180.000000
5.940038 0.000000 180.000000
6.127270 0.000000 180.000000
6.322939 0.000000 179.750000
6.496521 0.000000 nan
6.660424 0.000000 179.999999
6.802244 0.000000 179.999999
6.908509 0.000000 179.500000
7.085455 0.000000 178.499999
7.148655 0.000000 nan
7.172552 0.000000 179.749999
7.180231 0.000000 nan
7.179342 0.000000 176.750000
7.168161 0.000000 179.999999
7.146526 0.000000 nan
7.122186 0.000000 nan
7.084718 0.000000 179.999999
7.037153 0.000000 179.999999
6.982351 0.000000 nan
6.935999 0.000000 179.749999
6.880228 0.000000 180.000000
6.824771 0.000000 179.750000
6.755513 0.000000 179.499999
6.681340 0.000000 180.000000
6.626066 0.000000 177.750000
6.568004 0.000000 nan
6.494481 0.000000 178.250000
6.409635 0.000000 179.250000
6.311951 0.000000 178.999999
6.201554 0.000000 179.500000
6.042964 0.000000 179.750000
5.644716 0.000000 177.500000
7.816625 0.496454 14.772728
7.851603 0.481410 10.132197
7.779695 0.457088 3.482903
6.121280 0.000000 nan
6.450656 0.000000 nan
6.723047 0.000000 nan
6.753434 0.000000 179.500000
7.954876 0.314036 7.176961
7.965535 0.286307 9.864170
7.956116 0.260585 17.809313
7.874986 0.209367 43.091665
7.777769 0.185508 90.396341
7.755391 0.170067 100.940540
7.875323 0.164737 65.119185
7.878173 0.153582 69.922798
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
7.995943 0.072283 -0.037668
7.992921 0.073260 -2.230903
7.992496 0.074015 -1.210971
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
7.991686 0.070543 -0.778379
7.990008 0.069827 -1.106017
7.992346 0.071800 0.335151
7.994601 0.070011 0.909493
7.991724 0.071132 0.886697
7.994400 0.071676 0.967828
7.991135 0.071643 0.803850
7.984951 0.074463 0.675613
7.985494 0.073393 -0.069863
7.992974 0.071698 0.096758
7.992332 0.070377 -1.032009
7.991391 0.068400 -0.826177
7.990319 0.067806 -1.624322
7.990502 0.067350 -0.723244
7.996928 0.067448 1.607523
7.996224 0.069450 1.861724
7.992597 0.070331 8.008662
